# Spannung in V || Strom in mA
0,00001 0,00000
1,00018 -0,00055
2,00036 -0,00036
3,00054 -0,00061
4,00040 -0,00020
4,99995 0,00005
6,00049 0,00077
7,00038 0,00126
8,00094 0,00187
9,00055 0,00212
10,00114 0,00307
