# Oscilloscope file ./20160704_111943.bin
# Channel 1
Time / s;Voltage / V
0;0
0.5;0
1;0
1.5;0
2;0
2.5;0
3;0
3.5;0
4;-0.04
4.5;-0.04
5;0
5.5;0
6;-0.04
6.5;0
7;-0.04
7.5;0.04
8;-0.04
8.5;0
9;0
9.5;0
10;-0.04
10.5;-0.04
11;0
11.5;0
12;-0.04
12.5;0
13;0
13.5;0.04
14;0
14.5;0
15;0
15.5;0.04
16;0
16.5;0.04
17;0.04
17.5;0.04
18;0.04
18.5;0.04
19;0.04
19.5;0.08
20;0.04
20.5;0.04
21;0.04
21.5;0.08
22;0.04
22.5;0.08
23;0.08
23.5;0.08
24;0.08
24.5;0.08
25;0.08
25.5;0.12
26;0.08
26.5;0.12
27;0.08
27.5;0.12
28;0.08
28.5;0.12
29;0.08
29.5;0.16
30;0.08
30.5;0.12
31;0.12
31.5;0.16
32;0.12
32.5;0.16
33;0.16
33.5;0.2
34;0.16
34.5;0.16
35;0.2
35.5;0.2
36;0.16
36.5;0.16
37;0.16
37.5;0.2
38;0.16
38.5;0.2
39;0.2
39.5;0.2
40;0.2
40.5;0.2
41;0.2
41.5;0.24
42;0.2
42.5;0.2
43;0.24
43.5;0.24
44;0.2
44.5;0.24
45;0.24
45.5;0.24
46;0.24
46.5;0.24
47;0.28
47.5;0.28
48;0.24
48.5;0.28
49;0.24
49.5;0.28
50;0.24
50.5;0.28
51;0.28
51.5;0.28
52;0.24
52.5;0.28
53;0.32
53.5;0.32
54;0.24
54.5;0.32
55;0.32
55.5;0.32
56;0.28
56.5;0.32
57;0.32
57.5;0.36
58;0.32
58.5;0.32
59;0.32
59.5;0.36
60;0.32
60.5;0.36
61;0.32
61.5;0.36
62;0.32
62.5;0.36
63;0.36
63.5;0.4
64;0.36
64.5;0.36
65;0.4
65.5;0.4
66;0.36
66.5;0.4
67;0.4
67.5;0.4
68;0.4
68.5;0.4
69;0.4
69.5;0.44
70;0.4
70.5;0.44
71;0.4
71.5;0.48
72;0.4
72.5;0.44
73;0.44
73.5;0.48
74;0.44
74.5;0.44
75;0.44
75.5;0.48
76;0.44
76.5;0.48
77;0.48
77.5;0.48
78;0.44
78.5;0.48
79;0.44
79.5;0.52
80;0.44
80.5;0.48
81;0.48
81.5;0.52
82;0.48
82.5;0.52
83;0.52
83.5;0.52
84;0.52
84.5;0.52
85;0.52
85.5;0.56
86;0.52
86.5;0.56
87;0.52
87.5;0.6
88;0.52
88.5;0.56
89;0.56
89.5;0.6
90;0.56
90.5;0.56
91;0.56
91.5;0.6
92;0.56
92.5;0.6
93;0.6
93.5;0.6
94;0.56
94.5;0.56
95;0.6
95.5;0.6
96;0.6
96.5;0.6
97;0.6
97.5;0.64
98;0.6
98.5;0.6
99;0.6
99.5;0.64
100;0.6
100.5;0.64
101;0.64
101.5;0.68
102;0.64
102.5;0.64
103;0.64
103.5;0.68
104;0.64
104.5;0.68
105;0.68
105.5;0.68
106;0.64
106.5;0.68
107;0.68
107.5;0.68
108;0.68
108.5;0.68
109;0.68
109.5;0.72
110;0.68
110.5;0.72
111;0.68
111.5;0.72
112;0.68
112.5;0.72
113;0.76
113.5;0.76
114;0.72
114.5;0.72
115;0.72
115.5;0.76
116;0.72
116.5;0.76
117;0.76
117.5;0.8
118;0.76
118.5;0.8
119;0.76
119.5;0.8
120;0.76
120.5;0.8
121;0.8
121.5;0.8
122;0.76
122.5;0.8
123;0.76
123.5;0.8
124;0.76
124.5;0.8
125;0.84
125.5;0.84
126;0.8
126.5;0.84
127;0.84
127.5;0.84
128;0.8
128.5;0.84
129;0.84
129.5;0.84
130;0.8
130.5;0.8
131;0.88
131.5;0.88
132;0.84
132.5;0.88
133;0.84
133.5;0.92
134;0.84
134.5;0.88
135;0.88
135.5;0.92
136;0.88
136.5;0.88
137;0.92
