# Oscilloscope file ./20160704_110246.bin
# Channel 2
Time / s;Voltage / V
0;0.284
0.5;0.29
1;0.288
1.5;0.288
2;0.286
2.5;0.288
3;0.288
3.5;0.288
4;0.286
4.5;0.288
5;0.288
5.5;0.288
6;0.286
6.5;0.286
7;0.286
7.5;0.288
8;0.286
8.5;0.286
9;0.288
9.5;0.288
10;0.286
10.5;0.288
11;0.288
11.5;0.288
12;0.286
12.5;0.286
13;0.286
13.5;0.286
14;0.284
14.5;0.284
15;0.286
15.5;0.286
16;0.282
16.5;0.284
17;0.282
17.5;0.284
18;0.282
18.5;0.282
19;0.282
19.5;0.282
20;0.28
20.5;0.28
21;0.28
21.5;0.282
22;0.278
22.5;0.28
23;0.278
23.5;0.28
24;0.276
24.5;0.278
25;0.276
25.5;0.278
26;0.274
26.5;0.276
27;0.276
27.5;0.278
28;0.274
28.5;0.274
29;0.276
29.5;0.276
30;0.274
30.5;0.276
31;0.276
31.5;0.276
32;0.272
32.5;0.274
33;0.274
33.5;0.278
34;0.274
34.5;0.274
35;0.274
35.5;0.274
36;0.272
36.5;0.274
37;0.272
37.5;0.272
38;0.27
38.5;0.27
39;0.272
39.5;0.272
40;0.268
40.5;0.268
41;0.272
41.5;0.272
42;0.27
42.5;0.27
43;0.272
43.5;0.272
44;0.27
44.5;0.27
45;0.27
45.5;0.27
46;0.27
46.5;0.27
47;0.272
47.5;0.272
48;0.268
48.5;0.268
49;0.268
49.5;0.27
50;0.268
50.5;0.268
51;0.268
51.5;0.268
52;0.266
52.5;0.268
53;0.266
53.5;0.272
54;0.266
54.5;0.266
55;0.266
55.5;0.268
56;0.266
56.5;0.266
57;0.268
57.5;0.268
58;0.264
58.5;0.266
59;0.266
59.5;0.266
60;0.264
60.5;0.266
61;0.266
61.5;0.266
62;0.264
62.5;0.264
63;0.264
63.5;0.266
64;0.262
64.5;0.264
65;0.264
65.5;0.264
66;0.262
66.5;0.262
67;0.264
67.5;0.264
68;0.262
68.5;0.264
69;0.262
69.5;0.264
70;0.26
70.5;0.262
71;0.262
71.5;0.264
72;0.26
72.5;0.262
73;0.262
73.5;0.264
74;0.26
74.5;0.264
75;0.262
75.5;0.264
76;0.26
76.5;0.264
77;0.262
77.5;0.264
78;0.262
78.5;0.262
79;0.262
79.5;0.264
80;0.262
80.5;0.262
81;0.262
81.5;0.264
82;0.262
82.5;0.264
83;0.262
83.5;0.264
84;0.262
84.5;0.264
85;0.264
85.5;0.266
86;0.262
86.5;0.262
87;0.264
87.5;0.266
88;0.264
88.5;0.266
89;0.266
89.5;0.266
90;0.264
90.5;0.264
91;0.264
91.5;0.266
92;0.264
92.5;0.264
93;0.266
93.5;0.266
94;0.264
94.5;0.266
95;0.266
95.5;0.266
96;0.264
96.5;0.266
97;0.264
97.5;0.266
98;0.264
98.5;0.264
99;0.266
99.5;0.266
100;0.264
100.5;0.264
101;0.266
101.5;0.266
102;0.264
102.5;0.266
103;0.264
103.5;0.266
104;0.264
104.5;0.266
105;0.266
105.5;0.268
106;0.264
106.5;0.266
107;0.264
107.5;0.266
108;0.264
108.5;0.264
109;0.266
109.5;0.266
110;0.264
110.5;0.264
111;0.266
111.5;0.266
112;0.264
112.5;0.264
113;0.264
113.5;0.266
114;0.262
114.5;0.264
115;0.266
115.5;0.268
116;0.264
116.5;0.266
117;0.266
117.5;0.266
118;0.264
118.5;0.266
119;0.266
119.5;0.268
120;0.264
120.5;0.266
121;0.266
121.5;0.268
122;0.264
122.5;0.266
123;0.264
123.5;0.266
124;0.264
124.5;0.264
125;0.266
125.5;0.266
126;0.264
126.5;0.266
127;0.266
127.5;0.268
128;0.264
128.5;0.264
129;0.266
129.5;0.266
130;0.264
130.5;0.264
131;0.264
131.5;0.266
132;0.264
132.5;0.266
133;0.266
133.5;0.268
134;0.264
134.5;0.268
135;0.266
135.5;0.266
136;0.262
136.5;0.264
137;0.264
137.5;0.268
138;0.262
138.5;0.266
139;0.266
139.5;0.266
140;0.264
140.5;0.264
141;0.266
141.5;0.266
142;0.264
142.5;0.264
143;0.264
143.5;0.266
144;0.262
144.5;0.262
145;0.264
145.5;0.266
146;0.264
146.5;0.266
147;0.266
147.5;0.266
148;0.262
148.5;0.266
149;0.266
149.5;0.268
150;0.264
150.5;0.266
151;0.268
151.5;0.268
152;0.264
152.5;0.268
153;0.268
153.5;0.268
154;0.264
154.5;0.266
155;0.268
155.5;0.268
156;0.264
156.5;0.264
157;0.266
157.5;0.266
158;0.264
158.5;0.266
159;0.264
159.5;0.266
160;0.264
160.5;0.266
161;0.266
161.5;0.266
162;0.266
162.5;0.266
163;0.266
163.5;0.268
164;0.264
164.5;0.268
165;0.264
165.5;0.266
166;0.264
166.5;0.266
167;0.266
167.5;0.266
168;0.264
168.5;0.264
169;0.266
169.5;0.268
170;0.264
170.5;0.264
171;0.264
171.5;0.266
172;0.264
172.5;0.264
173;0.266
173.5;0.266
174;0.264
174.5;0.264
175;0.266
175.5;0.266
176;0.262
176.5;0.264
177;0.266
177.5;0.268
178;0.264
178.5;0.266
179;0.266
179.5;0.266
180;0.264
180.5;0.266
181;0.264
181.5;0.266
182;0.264
182.5;0.264
183;0.266
183.5;0.268
184;0.264
184.5;0.266
185;0.264
185.5;0.268
186;0.264
186.5;0.266
187;0.266
187.5;0.268
188;0.264
188.5;0.264
189;0.266
189.5;0.268
190;0.264
190.5;0.264
191;0.268
191.5;0.268
192;0.264
192.5;0.266
193;0.266
193.5;0.266
194;0.262
194.5;0.264
195;0.264
195.5;0.266
196;0.262
196.5;0.264
197;0.264
197.5;0.264
198;0.26
198.5;0.262
199;0.262
199.5;0.264
200;0.26
200.5;0.26
201;0.262
201.5;0.262
202;0.258
202.5;0.258
203;0.26
203.5;0.26
204;0.258
204.5;0.26
205;0.26
205.5;0.262
206;0.258
206.5;0.258
207;0.258
207.5;0.26
208;0.258
208.5;0.258
209;0.258
209.5;0.26
210;0.258
210.5;0.258
211;0.258
211.5;0.26
212;0.256
212.5;0.258
213;0.258
213.5;0.26
214;0.256
214.5;0.258
215;0.258
215.5;0.26
216;0.258
216.5;0.258
217;0.258
217.5;0.26
218;0.256
218.5;0.258
219;0.258
219.5;0.26
220;0.256
220.5;0.258
221;0.258
221.5;0.26
222;0.258
222.5;0.258
223;0.258
223.5;0.258
224;0.256
224.5;0.258
225;0.258
225.5;0.26
226;0.256
226.5;0.256
227;0.258
227.5;0.26
228;0.256
228.5;0.26
229;0.26
229.5;0.26
230;0.258
230.5;0.26
231;0.26
231.5;0.26
232;0.258
232.5;0.26
233;0.26
233.5;0.262
234;0.26
234.5;0.26
235;0.26
235.5;0.262
236;0.26
236.5;0.262
237;0.262
237.5;0.264
238;0.26
238.5;0.262
239;0.262
239.5;0.264
240;0.262
240.5;0.262
241;0.264
241.5;0.266
242;0.262
242.5;0.264
243;0.264
243.5;0.266
244;0.264
244.5;0.264
245;0.266
245.5;0.266
246;0.264
246.5;0.264
247;0.264
247.5;0.266
248;0.262
248.5;0.264
249;0.264
249.5;0.268
250;0.264
250.5;0.264
251;0.264
251.5;0.266
252;0.262
252.5;0.264
253;0.262
253.5;0.266
254;0.262
254.5;0.264
255;0.264
255.5;0.266
256;0.262
256.5;0.262
257;0.264
257.5;0.264
258;0.26
258.5;0.26
259;0.26
259.5;0.26
260;0.258
260.5;0.258
261;0.26
261.5;0.26
262;0.256
262.5;0.258
263;0.258
263.5;0.258
264;0.256
264.5;0.258
265;0.256
265.5;0.258
266;0.254
266.5;0.256
267;0.256
267.5;0.256
268;0.256
268.5;0.256
269;0.256
269.5;0.258
270;0.254
270.5;0.254
271;0.256
271.5;0.256
272;0.254
272.5;0.254
273;0.254
273.5;0.256
274;0.252
274.5;0.256
275;0.256
275.5;0.256
276;0.252
276.5;0.256
277;0.254
277.5;0.256
278;0.254
278.5;0.254
279;0.254
279.5;0.254
280;0.252
280.5;0.252
281;0.254
281.5;0.256
282;0.254
282.5;0.256
283;0.252
283.5;0.254
284;0.252
284.5;0.252
285;0.252
285.5;0.254
286;0.252
286.5;0.252
287;0.252
287.5;0.252
288;0.25
288.5;0.25
289;0.25
289.5;0.252
290;0.248
290.5;0.248
291;0.25
291.5;0.25
292;0.248
292.5;0.248
293;0.248
293.5;0.248
294;0.246
294.5;0.246
295;0.248
295.5;0.248
296;0.244
296.5;0.246
297;0.246
297.5;0.246
298;0.242
298.5;0.244
299;0.242
299.5;0.244
300;0.24
300.5;0.24
301;0.24
301.5;0.242
302;0.238
302.5;0.238
303;0.24
303.5;0.24
304;0.236
304.5;0.238
305;0.234
305.5;0.234
306;0.232
306.5;0.232
307;0.232
307.5;0.234
308;0.23
308.5;0.232
309;0.23
309.5;0.23
310;0.226
310.5;0.226
311;0.228
311.5;0.228
312;0.222
312.5;0.224
313;0.222
313.5;0.226
314;0.222
314.5;0.222
315;0.222
315.5;0.222
316;0.218
316.5;0.22
317;0.218
317.5;0.218
318;0.216
318.5;0.216
319;0.214
319.5;0.216
320;0.212
320.5;0.212
321;0.214
321.5;0.214
322;0.21
322.5;0.212
323;0.21
323.5;0.212
324;0.208
324.5;0.21
325;0.21
325.5;0.21
326;0.208
326.5;0.208
327;0.208
327.5;0.208
328;0.206
328.5;0.206
329;0.206
329.5;0.206
330;0.204
330.5;0.204
331;0.206
331.5;0.206
332;0.204
332.5;0.204
333;0.202
333.5;0.204
334;0.202
334.5;0.202
335;0.202
335.5;0.202
336;0.198
336.5;0.198
337;0.2
337.5;0.2
338;0.198
338.5;0.198
339;0.196
339.5;0.198
340;0.194
340.5;0.196
341;0.196
341.5;0.196
342;0.192
342.5;0.196
343;0.192
343.5;0.194
344;0.19
