# Oscilloscope file ./20160704_110317.bin
# Channel 1
Time / s;Voltage / V
0;5.2
0.5;5.2
1;5.2
1.5;5.24
2;5.2
2.5;5.2
3;5.2
3.5;5.2
4;5.2
4.5;5.2
5;5.24
5.5;5.24
6;5.2
6.5;5.2
7;5.2
7.5;5.24
8;5.2
8.5;5.2
9;5.2
9.5;5.24
10;5.2
10.5;5.2
11;5.2
11.5;5.24
12;5.2
12.5;5.2
13;5.2
13.5;5.2
14;5.16
14.5;5.2
15;5.2
15.5;5.2
16;5.16
16.5;5.16
17;5.16
17.5;5.16
18;5.16
18.5;5.16
19;5.16
19.5;5.16
20;5.12
20.5;5.12
21;5.12
21.5;5.12
22;5.12
22.5;5.12
23;5.12
23.5;5.12
24;5.08
24.5;5.12
25;5.08
25.5;5.12
26;5.08
26.5;5.08
27;5.08
27.5;5.08
28;5.08
28.5;5.08
29;5.08
29.5;5.08
30;5.04
30.5;5.04
31;5.08
31.5;5.08
32;5.04
32.5;5.04
33;5.04
33.5;5.04
34;5
34.5;5.04
35;5.04
35.5;5.04
36;5
36.5;5
37;5
37.5;5.04
38;5
38.5;5
39;5
39.5;5
40;4.96
40.5;5
41;5
41.5;5
42;4.96
42.5;5
43;5
43.5;5
44;4.96
44.5;4.96
45;4.96
45.5;4.96
46;4.96
46.5;4.96
47;4.92
47.5;4.96
48;4.92
48.5;4.96
49;4.92
49.5;4.96
50;4.88
50.5;4.92
51;4.92
51.5;4.92
52;4.88
52.5;4.88
53;4.92
53.5;4.92
54;4.88
54.5;4.88
55;4.88
55.5;4.88
56;4.88
56.5;4.88
57;4.88
57.5;4.88
58;4.88
58.5;4.88
59;4.84
59.5;4.88
60;4.84
60.5;4.84
61;4.84
61.5;4.88
62;4.84
62.5;4.84
63;4.84
63.5;4.84
64;4.8
64.5;4.8
65;4.8
65.5;4.84
66;4.8
66.5;4.8
67;4.8
67.5;4.8
68;4.8
68.5;4.8
69;4.76
69.5;4.8
70;4.76
70.5;4.76
71;4.76
71.5;4.76
72;4.76
72.5;4.76
73;4.76
73.5;4.76
74;4.72
74.5;4.76
75;4.76
75.5;4.76
76;4.72
76.5;4.72
77;4.72
77.5;4.76
78;4.68
78.5;4.72
79;4.72
79.5;4.72
80;4.68
80.5;4.68
81;4.68
81.5;4.72
82;4.68
82.5;4.68
83;4.68
83.5;4.68
84;4.64
84.5;4.68
85;4.68
85.5;4.68
86;4.64
86.5;4.68
87;4.64
87.5;4.64
88;4.64
88.5;4.64
89;4.64
89.5;4.64
90;4.64
90.5;4.64
91;4.64
91.5;4.64
92;4.6
92.5;4.6
93;4.6
93.5;4.64
94;4.6
94.5;4.64
95;4.6
95.5;4.6
96;4.56
96.5;4.6
97;4.6
97.5;4.6
98;4.56
98.5;4.56
99;4.6
99.5;4.6
100;4.56
100.5;4.56
101;4.56
101.5;4.56
102;4.52
102.5;4.56
103;4.52
103.5;4.52
104;4.52
104.5;4.52
105;4.56
105.5;4.56
106;4.52
106.5;4.52
107;4.52
107.5;4.52
108;4.48
108.5;4.52
109;4.48
109.5;4.52
110;4.48
110.5;4.48
111;4.48
111.5;4.48
112;4.48
112.5;4.48
113;4.48
113.5;4.48
114;4.44
114.5;4.48
115;4.48
115.5;4.48
116;4.44
116.5;4.48
117;4.44
117.5;4.48
118;4.4
118.5;4.44
119;4.44
119.5;4.44
120;4.4
120.5;4.4
121;4.4
121.5;4.44
122;4.36
122.5;4.4
123;4.4
123.5;4.4
124;4.36
124.5;4.36
125;4.36
125.5;4.4
126;4.36
126.5;4.36
127;4.36
127.5;4.36
128;4.36
128.5;4.36
129;4.36
129.5;4.36
130;4.32
130.5;4.32
131;4.36
131.5;4.36
132;4.32
132.5;4.32
133;4.32
133.5;4.32
134;4.28
134.5;4.28
135;4.32
135.5;4.32
136;4.28
136.5;4.32
137;4.32
137.5;4.32
138;4.28
138.5;4.28
139;4.28
139.5;4.28
140;4.24
140.5;4.24
141;4.24
141.5;4.28
142;4.24
142.5;4.28
143;4.24
143.5;4.24
144;4.24
144.5;4.24
145;4.24
145.5;4.24
146;4.2
146.5;4.24
147;4.2
147.5;4.24
148;4.16
148.5;4.2
149;4.2
149.5;4.2
150;4.2
150.5;4.2
151;4.2
151.5;4.24
152;4.16
152.5;4.16
153;4.16
153.5;4.2
154;4.16
154.5;4.16
155;4.16
155.5;4.16
156;4.12
156.5;4.12
157;4.16
157.5;4.16
158;4.12
158.5;4.16
159;4.12
159.5;4.12
160;4.08
160.5;4.08
161;4.12
161.5;4.12
162;4.08
162.5;4.08
163;4.08
163.5;4.12
164;4.08
164.5;4.12
165;4.08
165.5;4.08
166;4.04
166.5;4.04
167;4.08
167.5;4.08
168;4.04
168.5;4.04
169;4.04
169.5;4.08
170;4.04
170.5;4.04
171;4.08
171.5;4.08
172;4.04
172.5;4.04
173;4.04
173.5;4.08
174;4
174.5;4
175;4
175.5;4.04
176;4
176.5;4
