# Oscilloscope file ./20160704_104508.bin
# Channel 2
Time / s;Voltage / V
0;0.016
0.5;0.016
1;0.024
1.5;0.024
2;0.016
2.5;0.016
3;0.024
3.5;0.024
4;0.016
4.5;0.016
5;0.016
5.5;0.024
6;0.016
6.5;0.016
7;0.024
7.5;0.024
8;0.016
8.5;0.024
9;0.024
9.5;0.024
10;0.016
10.5;0.016
11;0.016
11.5;0.024
12;0.016
12.5;0.024
13;0.024
13.5;0.024
14;0.016
14.5;0.016
15;0.016
15.5;0.024
16;0.016
16.5;0.024
17;0.024
17.5;0.024
18;0.016
18.5;0.024
19;0.016
19.5;0.024
20;0.016
20.5;0.024
21;0.024
21.5;0.024
22;0.024
22.5;0.024
23;0.024
23.5;0.024
24;0.016
24.5;0.024
25;0.016
25.5;0.024
26;0.016
26.5;0.016
27;0.016
27.5;0.024
28;0.016
28.5;0.024
29;0.024
29.5;0.024
30;0.016
30.5;0.024
31;0.016
31.5;0.024
32;0.016
32.5;0.024
33;0.024
33.5;0.024
34;0.016
34.5;0.016
35;0.016
35.5;0.024
36;0.016
36.5;0.024
37;0.024
37.5;0.024
38;0.016
38.5;0.016
39;0.024
39.5;0.024
40;0.016
40.5;0.016
41;0.024
41.5;0.024
42;0.016
42.5;0.024
43;0.016
43.5;0.024
44;0.016
44.5;0.016
45;0.016
45.5;0.024
46;0.016
46.5;0.016
47;0.024
47.5;0.024
48;0.016
48.5;0.016
49;0.024
49.5;0.024
50;0.016
50.5;0.024
51;0.016
51.5;0.024
52;0.016
52.5;0.016
53;0.024
53.5;0.024
54;0.016
54.5;0.016
55;0.016
55.5;0.024
56;0.016
56.5;0.024
57;0.016
57.5;0.024
58;0.016
58.5;0.016
59;0.016
59.5;0.024
60;0.016
60.5;0.016
61;0.016
61.5;0.024
62;0.016
62.5;0.024
63;0.016
63.5;0.024
64;0.016
64.5;0.016
65;0.016
65.5;0.024
66;0.016
66.5;0.016
67;0.016
67.5;0.024
68;0.016
68.5;0.016
69;0.024
69.5;0.024
70;0.016
70.5;0.016
71;0.016
71.5;0.024
72;0.016
72.5;0.024
73;0.024
73.5;0.024
74;0.016
74.5;0.016
75;0.024
75.5;0.024
76;0.016
76.5;0.016
77;0.024
77.5;0.024
78;0.016
78.5;0.024
79;0.024
79.5;0.024
80;0.016
80.5;0.024
81;0.024
81.5;0.024
82;0.016
82.5;0.024
83;0.024
83.5;0.024
84;0.016
84.5;0.024
85;0.024
85.5;0.024
86;0.016
86.5;0.016
87;0.016
87.5;0.024
88;0.016
88.5;0.024
89;0.016
89.5;0.024
90;0.016
90.5;0.016
91;0.024
91.5;0.024
92;0.016
92.5;0.016
93;0.016
93.5;0.024
94;0.016
94.5;0.016
95;0.016
95.5;0.024
96;0.016
96.5;0.016
97;0.024
97.5;0.024
98;0.016
98.5;0.016
99;0.016
99.5;0.024
100;0.016
100.5;0.016
101;0.016
101.5;0.024
102;0.016
102.5;0.016
103;0.024
103.5;0.024
104;0.016
104.5;0.024
105;0.024
105.5;0.024
106;0.016
106.5;0.024
107;0.024
107.5;0.024
108;0.016
108.5;0.024
109;0.024
109.5;0.024
110;0.016
110.5;0.024
111;0.016
111.5;0.024
112;0.016
112.5;0.016
113;0.016
113.5;0.024
114;0.016
114.5;0.024
115;0.024
115.5;0.024
116;0.016
116.5;0.016
117;0.024
117.5;0.024
118;0.016
118.5;0.024
119;0.016
119.5;0.024
120;0.016
120.5;0.016
121;0.016
121.5;0.024
122;0.016
122.5;0.024
123;0.016
123.5;0.024
124;0.016
124.5;0.016
125;0.016
125.5;0.024
126;0.016
126.5;0.016
127;0.016
127.5;0.024
128;0.016
128.5;0.024
129;0.024
129.5;0.024
130;0.016
130.5;0.016
131;0.024
131.5;0.024
132;0.016
132.5;0.016
133;0.024
133.5;0.024
134;0.016
134.5;0.016
135;0.024
135.5;0.024
136;0.016
136.5;0.016
137;0.016
137.5;0.024
138;0.016
138.5;0.016
139;0.024
139.5;0.024
140;0.016
140.5;0.024
141;0.024
141.5;0.024
142;0.016
142.5;0.024
143;0.024
143.5;0.024
144;0.016
144.5;0.016
145;0.016
145.5;0.024
146;0.016
146.5;0.016
147;0.016
147.5;0.024
148;0.016
148.5;0.016
149;0.016
149.5;0.024
150;0.016
150.5;0.016
151;0.016
151.5;0.024
152;0.016
152.5;0.024
153;0.016
153.5;0.024
154;0.016
154.5;0.024
155;0.016
155.5;0.024
156;0.016
156.5;0.024
157;0.024
157.5;0.024
158;0.016
158.5;0.024
159;0.024
159.5;0.024
160;0.016
160.5;0.024
161;0.016
161.5;0.024
162;0.016
162.5;0.024
163;0.016
163.5;0.024
164;0.016
164.5;0.016
165;0.024
165.5;0.024
166;0.016
166.5;0.016
167;0.024
167.5;0.024
168;0.016
168.5;0.016
169;0.016
169.5;0.024
170;0.016
170.5;0.024
171;0.024
171.5;0.024
172;0.016
172.5;0.016
173;0.024
173.5;0.024
174;0.016
174.5;0.016
175;0.024
175.5;0.024
176;0.016
176.5;0.024
177;0.016
177.5;0.024
178;0.016
178.5;0.016
179;0.024
179.5;0.024
180;0.016
180.5;0.016
181;0.024
181.5;0.024
182;0.016
182.5;0.024
183;0.024
183.5;0.024
184;0.016
184.5;0.016
185;0.016
185.5;0.024
186;0.016
186.5;0.016
187;0.016
187.5;0.016
188;0.016
188.5;0.016
189;0.016
189.5;0.024
190;0.016
190.5;0.016
191;0.016
191.5;0.024
192;0.016
192.5;0.016
193;0.016
193.5;0.024
194;0.016
194.5;0.016
195;0.016
195.5;0.024
196;0.016
196.5;0.024
197;0.016
197.5;0.024
198;0.016
198.5;0.016
199;0.016
199.5;0.024
200;0.016
200.5;0.016
201;0.016
201.5;0.024
202;0.016
202.5;0.024
203;0.016
203.5;0.024
204;0.016
204.5;0.016
205;0.016
205.5;0.016
206;0.016
206.5;0.016
207;0.016
207.5;0.024
208;0.016
208.5;0.016
209;0.016
209.5;0.024
210;0.016
210.5;0.024
211;0.016
211.5;0.024
212;0.008
212.5;0.016
213;0.016
213.5;0.016
214;0.008
214.5;0.016
215;0.016
215.5;0.016
216;0.016
216.5;0.016
217;0.016
217.5;0.024
218;0.016
218.5;0.016
219;0.016
219.5;0.016
220;0.016
220.5;0.016
221;0.016
221.5;0.016
222;0.016
222.5;0.016
223;0.016
223.5;0.016
224;0.016
224.5;0.016
225;0.016
225.5;0.016
226;0.016
226.5;0.016
227;0.016
227.5;0.016
228;0.016
228.5;0.016
229;0.016
229.5;0.024
230;0.016
230.5;0.024
231;0.024
231.5;0.024
232;0.016
232.5;0.016
233;0.016
233.5;0.024
234;0.016
234.5;0.016
235;0.024
235.5;0.024
236;0.016
236.5;0.016
237;0.016
237.5;0.024
238;0.016
238.5;0.016
239;0.016
239.5;0.024
240;0.016
240.5;0.016
241;0.016
241.5;0.024
242;0.016
242.5;0.016
243;0.024
243.5;0.024
244;0.016
244.5;0.016
245;0.016
245.5;0.016
246;0.016
246.5;0.016
247;0.016
247.5;0.024
248;0.008
248.5;0.016
249;0.016
249.5;0.016
250;0.008
250.5;0.016
251;0.016
251.5;0.024
252;0.008
252.5;0.016
253;0.016
253.5;0.016
254;0.008
254.5;0.016
255;0.016
255.5;0.016
256;0.008
256.5;0.016
257;0.016
257.5;0.016
258;0.008
258.5;0.016
259;0.016
259.5;0.016
260;0.016
260.5;0.016
261;0.016
261.5;0.016
262;0.008
262.5;0.016
263;0.016
263.5;0.016
264;0.008
264.5;0.016
265;0.008
265.5;0.016
266;0.008
266.5;0.008
267;0.008
267.5;0.016
268;0.008
268.5;0.016
269;0.016
269.5;0.016
270;0.008
270.5;0.016
271;0.016
271.5;0.016
272;0.016
272.5;0.016
273;0.016
273.5;0.016
274;0.008
274.5;0.016
275;0.008
275.5;0.016
276;0.008
276.5;0.016
277;0.016
277.5;0.016
278;0.016
278.5;0.016
279;0.016
279.5;0.016
280;0.016
280.5;0.016
281;0.016
281.5;0.024
282;0.016
282.5;0.016
283;0.016
283.5;0.024
284;0.016
284.5;0.016
285;0.024
285.5;0.024
286;0.016
286.5;0.024
287;0.016
287.5;0.024
288;0.016
288.5;0.024
289;0.024
289.5;0.024
290;0.016
290.5;0.024
291;0.024
291.5;0.032
292;0.016
292.5;0.016
293;0.016
293.5;0.024
294;0.016
294.5;0.024
295;0.024
295.5;0.024
296;0.016
296.5;0.024
297;0.024
297.5;0.024
298;0.016
298.5;0.024
299;0.024
299.5;0.024
300;0.016
300.5;0.024
301;0.024
301.5;0.024
302;0.016
302.5;0.024
303;0.024
303.5;0.032
304;0.016
304.5;0.024
305;0.024
305.5;0.024
306;0.016
306.5;0.024
307;0.024
307.5;0.024
