# Oscilloscope file ./20160704_130545.bin
# Channel 2
Time / s;Voltage / V
0;0.086
0.5;0.088
1;0.088
1.5;0.088
2;0.086
2.5;0.088
3;0.088
3.5;0.088
4;0.086
4.5;0.088
5;0.088
5.5;0.088
6;0.086
6.5;0.088
7;0.088
7.5;0.09
8;0.084
8.5;0.086
9;0.086
9.5;0.088
10;0.086
10.5;0.088
11;0.088
11.5;0.088
12;0.086
12.5;0.086
13;0.088
13.5;0.09
14;0.086
14.5;0.088
15;0.088
15.5;0.09
16;0.086
16.5;0.088
17;0.088
17.5;0.09
18;0.086
18.5;0.088
19;0.088
19.5;0.09
20;0.088
20.5;0.088
21;0.09
21.5;0.09
22;0.088
22.5;0.09
23;0.088
23.5;0.09
24;0.088
24.5;0.088
25;0.088
25.5;0.09
26;0.088
26.5;0.088
27;0.088
27.5;0.09
28;0.088
28.5;0.09
29;0.088
29.5;0.09
30;0.088
30.5;0.088
31;0.088
31.5;0.09
32;0.088
32.5;0.09
33;0.09
33.5;0.09
34;0.088
34.5;0.09
35;0.09
35.5;0.09
36;0.088
36.5;0.088
37;0.09
37.5;0.09
38;0.088
38.5;0.09
39;0.088
39.5;0.09
40;0.088
40.5;0.09
41;0.088
41.5;0.092
42;0.088
42.5;0.088
43;0.09
43.5;0.09
44;0.088
44.5;0.088
45;0.09
45.5;0.092
46;0.086
46.5;0.088
47;0.09
47.5;0.09
48;0.088
48.5;0.088
49;0.088
49.5;0.092
50;0.088
50.5;0.088
51;0.088
51.5;0.092
52;0.088
52.5;0.088
53;0.09
53.5;0.09
54;0.088
54.5;0.09
55;0.09
55.5;0.09
56;0.086
56.5;0.09
57;0.088
57.5;0.09
58;0.086
58.5;0.088
59;0.088
59.5;0.09
60;0.088
60.5;0.088
61;0.088
61.5;0.09
62;0.086
62.5;0.09
63;0.088
63.5;0.09
64;0.086
64.5;0.086
65;0.088
65.5;0.09
66;0.086
66.5;0.088
67;0.088
67.5;0.09
68;0.088
68.5;0.088
69;0.088
69.5;0.088
70;0.086
70.5;0.086
71;0.088
71.5;0.088
72;0.084
72.5;0.088
73;0.086
73.5;0.088
74;0.086
74.5;0.088
75;0.088
75.5;0.09
76;0.086
76.5;0.088
77;0.086
77.5;0.088
78;0.086
78.5;0.086
79;0.088
79.5;0.088
80;0.086
80.5;0.086
81;0.086
81.5;0.088
82;0.086
82.5;0.088
83;0.088
83.5;0.088
84;0.084
84.5;0.086
85;0.086
85.5;0.088
86;0.084
86.5;0.086
87;0.088
87.5;0.088
88;0.084
88.5;0.086
89;0.088
89.5;0.088
90;0.084
90.5;0.086
91;0.086
91.5;0.09
92;0.084
92.5;0.086
93;0.086
93.5;0.086
94;0.084
94.5;0.086
95;0.084
95.5;0.088
96;0.084
96.5;0.086
97;0.086
97.5;0.086
98;0.084
98.5;0.086
99;0.084
99.5;0.088
100;0.084
100.5;0.086
101;0.086
101.5;0.086
102;0.084
102.5;0.084
103;0.084
103.5;0.086
104;0.082
104.5;0.082
105;0.084
105.5;0.086
106;0.084
106.5;0.084
107;0.084
107.5;0.086
108;0.082
108.5;0.086
109;0.084
109.5;0.084
110;0.082
110.5;0.084
111;0.086
111.5;0.086
112;0.082
112.5;0.084
113;0.084
113.5;0.084
114;0.082
114.5;0.082
115;0.084
115.5;0.084
116;0.08
116.5;0.084
117;0.086
117.5;0.086
118;0.082
118.5;0.082
119;0.08
119.5;0.084
120;0.08
120.5;0.082
121;0.084
121.5;0.084
122;0.08
122.5;0.08
123;0.084
123.5;0.084
124;0.08
124.5;0.082
125;0.084
125.5;0.084
126;0.08
126.5;0.08
127;0.082
127.5;0.086
128;0.08
128.5;0.086
129;0.082
129.5;0.084
130;0.078
130.5;0.08
131;0.08
131.5;0.084
132;0.078
132.5;0.082
133;0.08
133.5;0.082
134;0.078
134.5;0.082
135;0.08
135.5;0.082
136;0.08
136.5;0.082
137;0.082
137.5;0.082
138;0.08
138.5;0.08
139;0.08
139.5;0.082
140;0.078
140.5;0.078
141;0.08
141.5;0.082
142;0.078
142.5;0.082
143;0.08
143.5;0.082
144;0.078
144.5;0.08
145;0.082
145.5;0.084
146;0.078
146.5;0.082
147;0.082
147.5;0.082
148;0.08
148.5;0.08
149;0.08
149.5;0.082
150;0.078
150.5;0.08
151;0.08
151.5;0.084
152;0.08
152.5;0.08
153;0.082
153.5;0.084
154;0.08
154.5;0.08
155;0.082
155.5;0.084
156;0.08
156.5;0.082
157;0.082
157.5;0.084
158;0.082
158.5;0.082
159;0.08
159.5;0.084
160;0.08
160.5;0.082
161;0.082
161.5;0.084
162;0.08
162.5;0.082
163;0.082
163.5;0.084
164;0.082
164.5;0.082
165;0.082
165.5;0.084
166;0.082
166.5;0.082
167;0.082
167.5;0.082
168;0.08
168.5;0.082
169;0.08
169.5;0.082
170;0.08
170.5;0.08
171;0.082
171.5;0.082
172;0.08
172.5;0.08
173;0.08
173.5;0.08
174;0.076
174.5;0.08
175;0.078
175.5;0.08
176;0.076
176.5;0.076
177;0.076
177.5;0.082
178;0.076
178.5;0.078
179;0.078
179.5;0.08
180;0.074
180.5;0.076
181;0.076
181.5;0.08
182;0.074
182.5;0.078
183;0.076
183.5;0.078
184;0.074
184.5;0.076
185;0.076
185.5;0.078
186;0.074
186.5;0.074
187;0.076
187.5;0.076
188;0.072
188.5;0.074
189;0.074
189.5;0.078
190;0.074
190.5;0.076
191;0.074
191.5;0.076
192;0.074
192.5;0.076
193;0.076
193.5;0.078
194;0.07
194.5;0.078
195;0.078
195.5;0.08
196;0.076
196.5;0.078
197;0.078
197.5;0.08
198;0.078
198.5;0.078
199;0.078
199.5;0.082
200;0.078
200.5;0.082
201;0.08
201.5;0.082
202;0.078
202.5;0.082
203;0.082
203.5;0.088
204;0.082
204.5;0.084
205;0.082
205.5;0.086
206;0.082
206.5;0.086
207;0.084
207.5;0.086
208;0.084
208.5;0.086
209;0.086
209.5;0.088
210;0.084
210.5;0.088
211;0.088
211.5;0.09
212;0.086
212.5;0.088
213;0.086
213.5;0.09
214;0.086
214.5;0.088
215;0.09
215.5;0.092
216;0.088
216.5;0.09
217;0.088
217.5;0.092
218;0.088
218.5;0.09
219;0.094
219.5;0.094
220;0.09
220.5;0.092
221;0.094
221.5;0.096
222;0.09
222.5;0.092
223;0.092
223.5;0.094
224;0.092
224.5;0.092
225;0.094
225.5;0.094
226;0.092
226.5;0.094
227;0.094
227.5;0.096
228;0.092
228.5;0.092
229;0.094
229.5;0.096
230;0.094
230.5;0.096
231;0.096
231.5;0.096
232;0.092
232.5;0.094
233;0.094
233.5;0.096
234;0.092
234.5;0.092
235;0.094
235.5;0.096
236;0.092
236.5;0.092
237;0.092
237.5;0.094
238;0.092
238.5;0.092
239;0.092
239.5;0.092
240;0.09
240.5;0.092
241;0.09
241.5;0.09
242;0.086
242.5;0.09
243;0.088
243.5;0.09
244;0.086
244.5;0.086
245;0.088
245.5;0.088
246;0.082
246.5;0.082
247;0.084
247.5;0.084
248;0.08
248.5;0.08
249;0.082
249.5;0.082
250;0.076
250.5;0.076
251;0.078
251.5;0.078
252;0.072
252.5;0.074
253;0.074
253.5;0.074
254;0.068
254.5;0.068
255;0.068
255.5;0.07
256;0.062
256.5;0.062
257;0.062
257.5;0.062
258;0.056
258.5;0.058
259;0.056
259.5;0.058
260;0.05
260.5;0.05
261;0.052
261.5;0.052
262;0.046
262.5;0.048
263;0.046
263.5;0.046
264;0.04
264.5;0.04
265;0.038
265.5;0.04
266;0.034
266.5;0.034
267;0.034
267.5;0.034
268;0.032
268.5;0.034
269;0.032
269.5;0.034
270;0.026
270.5;0.026
271;0.026
271.5;0.03
272;0.026
272.5;0.026
273;0.022
273.5;0.028
274;0.022
274.5;0.024
275;0.024
275.5;0.026
276;0.024
276.5;0.024
277;0.026
277.5;0.026
278;0.022
278.5;0.026
279;0.022
279.5;0.026
280;0.022
280.5;0.024
281;0.026
281.5;0.028
282;0.024
282.5;0.026
283;0.03
283.5;0.032
284;0.028
284.5;0.028
285;0.032
285.5;0.034
286;0.03
286.5;0.032
287;0.034
287.5;0.04
288;0.034
288.5;0.04
289;0.038
289.5;0.044
290;0.038
290.5;0.044
291;0.044
291.5;0.05
292;0.044
292.5;0.05
293;0.05
293.5;0.056
294;0.05
294.5;0.056
295;0.056
295.5;0.06
296;0.056
296.5;0.06
297;0.06
297.5;0.066
298;0.06
298.5;0.066
299;0.068
299.5;0.07
300;0.066
300.5;0.07
301;0.07
301.5;0.076
302;0.07
302.5;0.074
303;0.076
303.5;0.082
304;0.074
304.5;0.082
305;0.08
305.5;0.086
306;0.08
306.5;0.084
307;0.084
307.5;0.088
308;0.084
308.5;0.088
309;0.088
309.5;0.092
310;0.088
310.5;0.09
311;0.092
311.5;0.094
312;0.092
312.5;0.094
313;0.096
313.5;0.1
314;0.096
314.5;0.098
315;0.098
315.5;0.102
316;0.098
316.5;0.102
317;0.102
317.5;0.106
318;0.102
318.5;0.106
319;0.106
319.5;0.11
320;0.104
320.5;0.108
321;0.11
321.5;0.11
322;0.108
322.5;0.11
323;0.112
323.5;0.114
324;0.11
324.5;0.112
325;0.112
325.5;0.116
326;0.112
326.5;0.116
327;0.118
327.5;0.12
328;0.116
328.5;0.118
329;0.12
329.5;0.124
330;0.118
330.5;0.122
331;0.122
331.5;0.126
332;0.122
332.5;0.122
333;0.124
333.5;0.128
334;0.124
334.5;0.126
335;0.126
335.5;0.13
336;0.126
336.5;0.13
337;0.13
337.5;0.132
338;0.128
338.5;0.132
339;0.132
339.5;0.134
340;0.13
340.5;0.134
341;0.136
341.5;0.136
342;0.134
342.5;0.136
343;0.134
343.5;0.14
344;0.134
344.5;0.138
345;0.138
345.5;0.142
346;0.138
346.5;0.14
347;0.142
347.5;0.144
348;0.14
348.5;0.144
349;0.144
349.5;0.146
350;0.144
350.5;0.144
351;0.146
351.5;0.148
352;0.144
352.5;0.148
353;0.146
353.5;0.152
354;0.146
354.5;0.15
355;0.15
355.5;0.154
356;0.148
356.5;0.154
357;0.152
357.5;0.156
358;0.152
358.5;0.156
359;0.156
359.5;0.158
360;0.156
360.5;0.158
361;0.156
361.5;0.16
362;0.156
362.5;0.16
363;0.158
363.5;0.162
364;0.158
364.5;0.16
365;0.162
365.5;0.164
366;0.16
366.5;0.164
367;0.164
367.5;0.166
368;0.162
368.5;0.166
369;0.166
369.5;0.168
370;0.164
370.5;0.168
371;0.168
371.5;0.17
372;0.166
372.5;0.17
373;0.17
373.5;0.172
374;0.17
374.5;0.172
375;0.172
375.5;0.176
376;0.172
376.5;0.176
377;0.176
377.5;0.176
378;0.172
378.5;0.176
379;0.176
379.5;0.178
380;0.174
380.5;0.178
381;0.178
381.5;0.18
382;0.178
382.5;0.18
383;0.18
383.5;0.182
384;0.18
384.5;0.182
385;0.182
385.5;0.184
386;0.182
386.5;0.184
387;0.184
387.5;0.186
388;0.182
388.5;0.186
389;0.184
389.5;0.188
390;0.184
390.5;0.188
391;0.186
391.5;0.188
392;0.186
392.5;0.186
393;0.19
393.5;0.192
394;0.188
394.5;0.19
395;0.19
395.5;0.192
396;0.19
396.5;0.192
397;0.19
397.5;0.194
398;0.19
398.5;0.192
399;0.194
