"#T in K" #n_i
313.14999999999998 4789181329618577.0
323.14999999999998 7844838228703024.0
333.14999999999998 12456882110809108.0
343.14999999999998 19070847807443420.0
353.14999999999998 28712397125280408.0
362.54999999999995 41550230739830392.0
373.84999999999997 63270544231656424.0
382.54999999999995 86008789887243104.0
393.94999999999999 1.271976533484735e+17
403.75 1.7362111177542102e+17
413.25 2.2949365537406934e+17
422.25 2.9881593158981901e+17
