"#T in K" "#R_H in m**3 / C"
93.149999999999977 3563.5999999999999
103.14999999999998 3577.4000000000001
113.14999999999998 3590.9000000000005
123.14999999999998 3581.4000000000001
133.14999999999998 3546.5999999999995
143.14999999999998 3491.5999999999995
153.14999999999998 3417.7000000000003
163.14999999999998 3325.2000000000003
173.14999999999998 3219.9000000000001
183.14999999999998 3105.5
193.14999999999998 2987.4000000000001
203.14999999999998 2868.3000000000002
213.14999999999998 2755.2000000000003
223.14999999999998 2648.0
233.14999999999998 2551.6000000000004
243.14999999999998 2441.8000000000002
253.14999999999998 2308.0999999999999
263.14999999999998 2087.8000000000002
273.14999999999998 1480.5
283.14999999999998 1243.0588235294119
293.14999999999998 792.70588235294122
303.14999999999998 474.5
313.14999999999998 293.21428571428572
323.14999999999998 181.55000000000001
333.14999999999998 115.92307692307692
343.14999999999998 76.750000000000014
353.14999999999998 51.65625
362.54999999999995 36.13333333333334
373.84999999999997 24.071428571428573
382.54999999999995 17.900000000000002
393.94999999999999 12.272727272727272
403.75 9.0967741935483879
413.25 6.9589041095890405
422.25 5.4000000000000004
