# Oscilloscope file ./20160704_123621.bin
# Channel 1
Time / s;Voltage / V
0;0
0.5;0
1;0
1.5;0.04
2;-0.04
2.5;0
3;0
3.5;0
4;0
4.5;0
5;0
5.5;0
6;0
6.5;0
7;0
7.5;0.04
8;0
8.5;0
9;0
9.5;0
10;-0.04
10.5;0
11;0
11.5;0.04
12;0
12.5;0
13;0
13.5;0.04
14;0
14.5;0
15;0
15.5;0.04
16;-0.04
16.5;0
17;0
17.5;0
18;-0.04
18.5;0
19;0
19.5;0
20;-0.04
20.5;0
21;0
21.5;0
22;0
22.5;0
23;0
23.5;0
24;0
24.5;0
25;0
25.5;0.04
26;0
26.5;0.04
27;0
27.5;0.04
28;0
28.5;0.04
29;0.04
29.5;0.04
30;0
30.5;0.04
31;0.04
31.5;0.08
32;0.04
32.5;0.04
33;0.08
33.5;0.08
34;0.04
34.5;0.08
35;0.08
35.5;0.08
36;0.08
36.5;0.08
37;0.08
37.5;0.12
38;0.08
38.5;0.12
39;0.12
39.5;0.12
40;0.08
40.5;0.08
41;0.12
41.5;0.12
42;0.12
42.5;0.12
43;0.12
43.5;0.16
44;0.12
44.5;0.16
45;0.16
45.5;0.16
46;0.12
46.5;0.16
47;0.16
47.5;0.2
48;0.16
48.5;0.2
49;0.2
49.5;0.2
50;0.16
50.5;0.2
51;0.2
51.5;0.2
52;0.16
52.5;0.2
53;0.2
53.5;0.24
54;0.2
54.5;0.24
55;0.2
55.5;0.24
56;0.2
56.5;0.24
57;0.24
57.5;0.24
58;0.24
58.5;0.24
59;0.24
59.5;0.28
60;0.24
60.5;0.28
61;0.24
61.5;0.28
62;0.24
62.5;0.28
63;0.28
63.5;0.32
64;0.28
64.5;0.28
65;0.28
65.5;0.32
66;0.28
66.5;0.28
67;0.32
67.5;0.32
68;0.28
68.5;0.32
69;0.32
69.5;0.36
70;0.32
70.5;0.36
71;0.36
71.5;0.36
72;0.32
72.5;0.36
73;0.36
73.5;0.4
74;0.36
74.5;0.36
75;0.36
75.5;0.4
76;0.36
76.5;0.4
77;0.36
77.5;0.4
78;0.36
78.5;0.4
79;0.36
79.5;0.44
80;0.36
80.5;0.4
81;0.44
81.5;0.44
82;0.4
82.5;0.4
83;0.4
83.5;0.44
84;0.4
84.5;0.44
85;0.44
85.5;0.44
86;0.44
86.5;0.44
87;0.44
87.5;0.48
88;0.44
88.5;0.44
89;0.48
89.5;0.48
90;0.48
90.5;0.48
91;0.48
91.5;0.52
92;0.48
92.5;0.52
93;0.48
93.5;0.52
94;0.48
94.5;0.52
95;0.52
95.5;0.52
96;0.52
96.5;0.52
97;0.52
97.5;0.56
98;0.52
98.5;0.52
99;0.52
99.5;0.56
100;0.52
100.5;0.52
101;0.52
101.5;0.6
102;0.52
102.5;0.56
103;0.56
103.5;0.6
104;0.56
104.5;0.56
105;0.6
105.5;0.6
106;0.56
106.5;0.6
107;0.6
107.5;0.64
108;0.6
108.5;0.6
109;0.6
109.5;0.64
110;0.6
110.5;0.6
111;0.64
111.5;0.68
112;0.6
112.5;0.68
113;0.64
113.5;0.68
114;0.64
114.5;0.68
115;0.68
115.5;0.68
116;0.64
116.5;0.64
117;0.68
117.5;0.68
118;0.64
118.5;0.68
119;0.68
119.5;0.72
120;0.68
120.5;0.72
121;0.68
121.5;0.72
122;0.68
122.5;0.68
123;0.72
123.5;0.72
124;0.68
124.5;0.72
125;0.72
125.5;0.76
126;0.72
126.5;0.76
127;0.76
127.5;0.76
128;0.72
128.5;0.76
129;0.76
129.5;0.8
130;0.72
130.5;0.76
131;0.76
131.5;0.8
132;0.76
132.5;0.76
133;0.76
133.5;0.8
134;0.76
134.5;0.8
135;0.76
135.5;0.84
136;0.76
136.5;0.8
137;0.8
137.5;0.84
138;0.8
138.5;0.84
139;0.8
139.5;0.84
140;0.8
140.5;0.84
