# Oscilloscope file ./20160704_122154.bin
# Channel 2
Time / s;Voltage / V
0;0.274
0.5;0.278
1;0.274
1.5;0.276
2;0.272
2.5;0.276
3;0.274
3.5;0.276
4;0.272
4.5;0.274
5;0.274
5.5;0.276
6;0.272
6.5;0.274
7;0.274
7.5;0.276
8;0.272
8.5;0.274
9;0.276
9.5;0.276
10;0.272
10.5;0.276
11;0.274
11.5;0.278
12;0.27
12.5;0.274
13;0.274
13.5;0.276
14;0.272
14.5;0.272
15;0.272
15.5;0.276
16;0.272
16.5;0.274
17;0.272
17.5;0.276
18;0.272
18.5;0.276
19;0.274
19.5;0.278
20;0.274
20.5;0.274
21;0.274
21.5;0.276
22;0.272
22.5;0.274
23;0.274
23.5;0.276
24;0.272
24.5;0.274
25;0.274
25.5;0.276
26;0.272
26.5;0.274
27;0.276
27.5;0.276
28;0.272
28.5;0.272
29;0.276
29.5;0.276
30;0.272
30.5;0.274
31;0.276
31.5;0.276
32;0.274
32.5;0.274
33;0.274
33.5;0.276
34;0.274
34.5;0.274
35;0.276
35.5;0.276
36;0.272
36.5;0.276
37;0.276
37.5;0.276
38;0.274
38.5;0.274
39;0.274
39.5;0.276
40;0.272
40.5;0.274
41;0.274
41.5;0.276
42;0.272
42.5;0.276
43;0.272
43.5;0.274
44;0.272
44.5;0.274
45;0.274
45.5;0.276
46;0.274
46.5;0.274
47;0.276
47.5;0.276
48;0.272
48.5;0.274
49;0.274
49.5;0.276
50;0.274
50.5;0.274
51;0.274
51.5;0.274
52;0.274
52.5;0.274
53;0.278
53.5;0.278
54;0.272
54.5;0.272
55;0.272
55.5;0.274
56;0.272
56.5;0.272
57;0.272
57.5;0.272
58;0.27
58.5;0.27
59;0.27
59.5;0.274
60;0.27
60.5;0.27
61;0.27
61.5;0.27
62;0.268
62.5;0.268
63;0.268
63.5;0.268
64;0.268
64.5;0.268
65;0.268
65.5;0.268
66;0.266
66.5;0.266
67;0.266
67.5;0.268
68;0.266
68.5;0.266
69;0.266
69.5;0.266
70;0.264
70.5;0.266
71;0.266
71.5;0.268
72;0.264
72.5;0.264
73;0.266
73.5;0.266
74;0.264
74.5;0.266
75;0.264
75.5;0.266
76;0.262
76.5;0.262
77;0.264
77.5;0.264
78;0.262
78.5;0.262
79;0.262
79.5;0.264
80;0.258
80.5;0.262
81;0.262
81.5;0.262
82;0.26
82.5;0.26
83;0.262
83.5;0.264
84;0.26
84.5;0.262
85;0.262
85.5;0.262
86;0.26
86.5;0.262
87;0.26
87.5;0.262
88;0.26
88.5;0.26
89;0.262
89.5;0.262
90;0.26
90.5;0.26
91;0.26
91.5;0.262
92;0.26
92.5;0.26
93;0.258
93.5;0.26
94;0.258
94.5;0.26
95;0.26
95.5;0.26
96;0.258
96.5;0.26
97;0.26
97.5;0.26
98;0.258
98.5;0.258
99;0.258
99.5;0.26
100;0.258
100.5;0.258
101;0.258
101.5;0.26
102;0.258
102.5;0.258
103;0.256
103.5;0.26
104;0.256
104.5;0.26
105;0.258
105.5;0.26
106;0.256
106.5;0.258
107;0.26
107.5;0.26
108;0.258
108.5;0.258
109;0.258
109.5;0.26
110;0.258
110.5;0.26
111;0.26
111.5;0.26
112;0.256
112.5;0.26
113;0.26
113.5;0.26
114;0.258
114.5;0.26
115;0.258
115.5;0.262
116;0.258
116.5;0.26
117;0.26
117.5;0.262
118;0.258
118.5;0.262
119;0.262
119.5;0.262
120;0.258
120.5;0.258
121;0.26
121.5;0.262
122;0.258
122.5;0.258
123;0.26
123.5;0.262
124;0.258
124.5;0.258
125;0.258
125.5;0.26
126;0.258
126.5;0.26
127;0.26
127.5;0.262
128;0.258
128.5;0.258
129;0.258
129.5;0.26
130;0.256
130.5;0.258
131;0.256
131.5;0.26
132;0.256
132.5;0.26
133;0.256
133.5;0.258
134;0.256
134.5;0.258
135;0.26
135.5;0.26
136;0.258
136.5;0.26
137;0.258
137.5;0.26
