# Oscilloscope file ./20160704_130527.bin
# Channel 1
Time / s;Voltage / V
0;0
0.5;0
1;0
1.5;0.04
2;-0.04
2.5;0
3;0
3.5;0
4;0
4.5;0
5;0.04
5.5;0.04
6;0
6.5;0
7;0.04
7.5;0.04
8;0
8.5;0.04
9;0.04
9.5;0.08
10;0.04
10.5;0.08
11;0.04
11.5;0.08
12;0.04
12.5;0.08
13;0.08
13.5;0.08
14;0.08
14.5;0.08
15;0.08
15.5;0.12
16;0.08
16.5;0.12
17;0.08
17.5;0.16
18;0.08
18.5;0.12
19;0.12
19.5;0.16
20;0.08
20.5;0.12
21;0.12
21.5;0.16
22;0.12
22.5;0.16
23;0.16
23.5;0.16
24;0.12
24.5;0.12
25;0.16
25.5;0.2
26;0.16
26.5;0.2
27;0.16
27.5;0.2
28;0.16
28.5;0.16
29;0.2
29.5;0.2
30;0.2
30.5;0.2
31;0.24
31.5;0.24
32;0.2
32.5;0.2
33;0.2
33.5;0.24
34;0.2
34.5;0.24
35;0.2
35.5;0.24
36;0.2
36.5;0.24
37;0.24
37.5;0.28
38;0.24
38.5;0.28
39;0.28
39.5;0.28
40;0.24
40.5;0.28
41;0.28
41.5;0.28
42;0.24
42.5;0.28
43;0.28
43.5;0.32
44;0.28
44.5;0.28
45;0.28
45.5;0.32
46;0.28
46.5;0.32
47;0.32
47.5;0.36
48;0.32
48.5;0.36
49;0.36
49.5;0.36
50;0.32
50.5;0.36
51;0.36
51.5;0.36
52;0.32
52.5;0.36
53;0.36
53.5;0.4
54;0.36
54.5;0.4
55;0.4
55.5;0.4
56;0.36
56.5;0.4
57;0.36
57.5;0.4
58;0.36
58.5;0.4
59;0.4
59.5;0.44
60;0.36
60.5;0.4
61;0.44
61.5;0.44
62;0.4
62.5;0.4
63;0.44
63.5;0.48
64;0.44
64.5;0.44
65;0.48
65.5;0.48
66;0.44
66.5;0.48
67;0.48
67.5;0.48
68;0.44
68.5;0.48
69;0.44
69.5;0.52
70;0.44
70.5;0.48
71;0.48
71.5;0.52
72;0.48
72.5;0.48
73;0.52
73.5;0.52
74;0.48
74.5;0.52
75;0.56
75.5;0.56
76;0.52
76.5;0.52
77;0.52
77.5;0.56
78;0.52
78.5;0.56
79;0.52
79.5;0.56
80;0.52
80.5;0.56
81;0.6
81.5;0.6
82;0.56
82.5;0.6
83;0.6
83.5;0.6
84;0.56
84.5;0.6
85;0.6
85.5;0.6
86;0.6
86.5;0.6
87;0.6
87.5;0.64
88;0.6
88.5;0.64
89;0.6
89.5;0.64
90;0.6
90.5;0.64
91;0.6
91.5;0.68
92;0.6
92.5;0.64
93;0.64
93.5;0.68
94;0.64
94.5;0.64
95;0.64
95.5;0.68
96;0.64
96.5;0.68
97;0.64
97.5;0.72
98;0.64
98.5;0.72
99;0.68
99.5;0.72
100;0.68
100.5;0.68
101;0.72
101.5;0.72
102;0.72
102.5;0.72
103;0.72
103.5;0.76
104;0.72
104.5;0.76
105;0.72
105.5;0.76
106;0.72
106.5;0.76
107;0.76
107.5;0.76
108;0.72
108.5;0.76
109;0.8
109.5;0.8
110;0.76
110.5;0.8
111;0.8
111.5;0.8
112;0.76
112.5;0.8
113;0.8
113.5;0.8
114;0.8
114.5;0.8
115;0.8
115.5;0.84
116;0.8
116.5;0.84
117;0.84
117.5;0.88
118;0.8
118.5;0.88
119;0.84
119.5;0.88
120;0.84
120.5;0.84
121;0.88
121.5;0.88
122;0.84
122.5;0.84
123;0.88
123.5;0.88
124;0.84
124.5;0.88
125;0.88
125.5;0.92
126;0.88
126.5;0.88
127;0.92
127.5;0.92
128;0.88
128.5;0.92
129;0.92
129.5;0.92
130;0.92
130.5;0.92
131;0.92
131.5;0.96
132;0.92
132.5;0.92
133;0.92
133.5;0.96
134;0.92
134.5;0.92
135;0.92
135.5;1
136;0.92
