# Oscilloscope file ./20160704_115338.bin
# Channel 1
Time / s;Voltage / V
0;-0.04
0.5;0
1;0
1.5;0
2;0
2.5;0
3;0
3.5;0
4;0
4.5;0
5;0
5.5;0.04
6;0
6.5;0
7;0
7.5;0
8;0
8.5;0
9;0
9.5;0
10;0
10.5;0
11;0
11.5;0
12;-0.04
12.5;0
13;0
13.5;0
14;0
14.5;0
15;0
15.5;0.04
16;0
16.5;0
17;0
17.5;0
18;0
18.5;0
19;0
19.5;0
20;-0.04
20.5;0
21;0
21.5;0
22;0
22.5;0
23;0
23.5;0
24;0
24.5;0
25;0
25.5;0
26;0
26.5;0
27;0
27.5;0.04
28;0
28.5;0
29;0
29.5;0
30;0
30.5;0
31;0
31.5;0
32;0
32.5;0
33;0
33.5;0
34;0
34.5;0
35;0
35.5;0
36;0
36.5;0
37;0
37.5;0.04
38;0
38.5;0
39;0
39.5;0.04
40;0
40.5;0
41;0.04
41.5;0.08
42;0.04
42.5;0.04
43;0.04
43.5;0.04
44;0.04
44.5;0.04
45;0.04
45.5;0.08
46;0.04
46.5;0.08
47;0.08
47.5;0.08
48;0.04
48.5;0.08
49;0.08
49.5;0.12
50;0.08
50.5;0.08
51;0.08
51.5;0.12
52;0.08
52.5;0.12
53;0.12
53.5;0.16
54;0.12
54.5;0.16
55;0.12
55.5;0.16
56;0.12
56.5;0.12
57;0.16
57.5;0.2
58;0.12
58.5;0.16
59;0.16
59.5;0.2
60;0.16
60.5;0.16
61;0.16
61.5;0.2
62;0.16
62.5;0.2
63;0.2
63.5;0.24
64;0.16
64.5;0.24
65;0.2
65.5;0.24
66;0.2
66.5;0.2
67;0.24
67.5;0.24
68;0.2
68.5;0.24
69;0.24
69.5;0.24
70;0.24
70.5;0.24
71;0.24
71.5;0.28
72;0.24
72.5;0.24
73;0.24
73.5;0.28
74;0.24
74.5;0.24
75;0.28
75.5;0.28
76;0.28
76.5;0.28
77;0.28
77.5;0.32
78;0.28
78.5;0.32
79;0.32
79.5;0.32
80;0.28
80.5;0.32
81;0.32
81.5;0.36
82;0.28
82.5;0.32
83;0.32
83.5;0.36
84;0.32
84.5;0.36
85;0.36
85.5;0.4
86;0.36
86.5;0.4
87;0.36
87.5;0.4
88;0.36
88.5;0.4
89;0.4
89.5;0.4
90;0.36
90.5;0.4
91;0.4
91.5;0.44
92;0.4
92.5;0.4
93;0.4
93.5;0.44
94;0.4
94.5;0.44
95;0.44
95.5;0.44
96;0.4
96.5;0.44
97;0.44
97.5;0.48
98;0.44
98.5;0.44
99;0.44
99.5;0.48
100;0.44
100.5;0.48
101;0.48
101.5;0.48
102;0.44
102.5;0.48
103;0.48
103.5;0.52
104;0.48
104.5;0.52
105;0.48
105.5;0.52
106;0.48
106.5;0.52
107;0.52
107.5;0.52
108;0.48
108.5;0.52
109;0.52
109.5;0.56
110;0.52
110.5;0.52
111;0.56
111.5;0.56
112;0.52
112.5;0.56
113;0.56
113.5;0.6
114;0.56
114.5;0.56
115;0.56
115.5;0.6
116;0.56
116.5;0.56
117;0.56
117.5;0.6
118;0.56
118.5;0.6
119;0.6
119.5;0.64
120;0.6
120.5;0.64
121;0.6
121.5;0.64
122;0.6
122.5;0.6
123;0.6
123.5;0.64
124;0.6
124.5;0.64
125;0.64
125.5;0.68
126;0.64
126.5;0.64
127;0.64
127.5;0.68
128;0.64
128.5;0.64
129;0.68
129.5;0.72
130;0.68
130.5;0.68
131;0.68
131.5;0.72
132;0.68
132.5;0.68
133;0.72
133.5;0.72
134;0.68
134.5;0.72
135;0.68
135.5;0.72
136;0.68
136.5;0.72
137;0.72
137.5;0.76
138;0.72
138.5;0.72
139;0.72
139.5;0.76
140;0.72
140.5;0.76
141;0.76
141.5;0.8
142;0.76
142.5;0.8
143;0.76
143.5;0.8
144;0.76
144.5;0.8
145;0.76
145.5;0.84
146;0.76
146.5;0.8
147;0.8
147.5;0.8
148;0.8
148.5;0.8
149;0.8
149.5;0.84
150;0.8
150.5;0.8
151;0.8
151.5;0.84
152;0.8
152.5;0.84
153;0.84
153.5;0.88
154;0.84
154.5;0.84
155;0.88
155.5;0.88
156;0.84
156.5;0.88
157;0.88
157.5;0.92
158;0.84
158.5;0.92
159;0.88
159.5;0.92
160;0.88
160.5;0.92
