# Oscilloscope file ./20160613_124148.bin
# Channel 2
Time / s;Voltage / V
0;0.016
0.5;0.0168
1;0.0168
1.5;0.018
2;0.016
2.5;0.016
3;0.016
3.5;0.0192
4;0.016
4.5;0.0176
5;0.0176
5.5;0.0192
6;0.0168
6.5;0.0168
7;0.018
7.5;0.0224
8;0.0172
8.5;0.0172
9;0.018
9.5;0.02
10;0.0172
10.5;0.0172
11;0.018
11.5;0.0216
12;0.018
12.5;0.0184
13;0.02
13.5;0.02
14;0.0176
14.5;0.0184
15;0.0184
15.5;0.0204
16;0.0184
16.5;0.0196
17;0.0184
17.5;0.0196
18;0.018
18.5;0.0196
19;0.0196
19.5;0.0208
20;0.0188
20.5;0.0208
21;0.0192
21.5;0.0204
22;0.018
22.5;0.0184
23;0.0188
23.5;0.0224
24;0.018
24.5;0.0188
25;0.018
25.5;0.0208
26;0.0176
26.5;0.0176
27;0.018
27.5;0.02
28;0.0172
28.5;0.0176
29;0.0184
29.5;0.02
30;0.0172
30.5;0.0188
31;0.0192
31.5;0.0204
32;0.0176
32.5;0.0188
33;0.018
33.5;0.0192
34;0.0168
34.5;0.0188
35;0.0176
35.5;0.0184
36;0.016
36.5;0.018
37;0.018
37.5;0.0188
38;0.016
38.5;0.018
39;0.018
39.5;0.0196
40;0.018
40.5;0.018
41;0.0188
41.5;0.0188
42;0.0168
42.5;0.018
43;0.0188
43.5;0.0192
44;0.0168
44.5;0.0168
45;0.0184
45.5;0.0196
46;0.0172
46.5;0.018
47;0.0196
47.5;0.0196
48;0.0176
48.5;0.0176
49;0.0184
49.5;0.0188
50;0.0168
50.5;0.0188
51;0.0192
51.5;0.0196
52;0.016
52.5;0.0196
53;0.0176
53.5;0.018
54;0.016
54.5;0.0176
55;0.0172
55.5;0.0188
56;0.0168
56.5;0.0184
57;0.0184
57.5;0.0208
58;0.0172
58.5;0.0184
59;0.0216
59.5;0.0216
60;0.0168
60.5;0.0188
61;0.02
61.5;0.0204
62;0.0168
62.5;0.0172
63;0.0212
63.5;0.0212
64;0.0164
64.5;0.0172
65;0.0164
65.5;0.0196
66;0.0164
66.5;0.018
67;0.0192
67.5;0.0208
68;0.0168
68.5;0.0176
69;0.018
69.5;0.0204
70;0.018
70.5;0.0204
71;0.0204
71.5;0.0212
72;0.0176
72.5;0.0188
73;0.0176
73.5;0.02
74;0.0156
74.5;0.0156
75;0.018
75.5;0.0196
76;0.0164
76.5;0.0172
77;0.0168
77.5;0.0196
78;0.0168
78.5;0.0168
79;0.016
79.5;0.0188
80;0.0156
80.5;0.0168
81;0.0192
81.5;0.0192
82;0.0168
82.5;0.0168
83;0.0172
83.5;0.018
84;0.0156
84.5;0.0164
85;0.0168
85.5;0.0196
86;0.0144
86.5;0.0144
87;0.0176
87.5;0.018
88;0.0148
88.5;0.0172
89;0.0168
89.5;0.0168
90;0.0144
90.5;0.0156
91;0.0168
91.5;0.018
92;0.0156
92.5;0.0156
93;0.0148
93.5;0.0168
94;0.0144
94.5;0.0156
95;0.018
95.5;0.018
96;0.0152
96.5;0.016
97;0.0164
97.5;0.0188
98;0.014
98.5;0.0164
99;0.0164
99.5;0.0184
100;0.0152
100.5;0.0164
101;0.0188
101.5;0.0188
102;0.0164
102.5;0.0164
103;0.0144
103.5;0.0176
104;0.0144
104.5;0.0156
105;0.016
105.5;0.0172
106;0.0152
106.5;0.0172
107;0.0172
107.5;0.0176
108;0.0152
108.5;0.0176
109;0.0172
109.5;0.0188
110;0.0148
110.5;0.0148
111;0.0168
111.5;0.0176
112;0.0156
112.5;0.0176
113;0.0172
113.5;0.0184
114;0.0156
114.5;0.0184
115;0.014
115.5;0.0188
116;0.014
116.5;0.016
117;0.018
117.5;0.018
118;0.0148
118.5;0.0152
119;0.0168
119.5;0.0176
120;0.0136
120.5;0.0168
121;0.0164
121.5;0.0188
122;0.0148
122.5;0.0168
123;0.0172
123.5;0.018
124;0.0152
124.5;0.0152
125;0.0184
125.5;0.0188
126;0.0132
126.5;0.0164
127;0.0156
127.5;0.0184
128;0.0156
128.5;0.0184
129;0.0168
129.5;0.0172
130;0.0152
130.5;0.016
131;0.0156
131.5;0.0176
132;0.0152
132.5;0.0164
133;0.0152
133.5;0.0172
134;0.0148
134.5;0.0156
135;0.016
135.5;0.018
136;0.014
136.5;0.0144
137;0.014
137.5;0.0164
138;0.0128
138.5;0.0128
139;0.0144
139.5;0.0152
140;0.012
140.5;0.0124
141;0.0152
141.5;0.0156
142;0.0104
142.5;0.0132
143;0.0144
143.5;0.0148
