# Oscilloscope file ./20160613_124133.bin
# Channel 1
Time / s;Voltage / V
0;-0.04
0.5;0
1;0
1.5;0.04
2;0
2.5;0.04
3;0
3.5;0
4;0
4.5;0
5;0
5.5;0.04
6;0
6.5;0
7;0
7.5;0
8;0
8.5;0
9;0
9.5;0.04
10;0
10.5;0.04
11;0.04
11.5;0.04
12;0.04
12.5;0.04
13;0.04
13.5;0.08
14;0.04
14.5;0.08
15;0.04
15.5;0.08
16;0.04
16.5;0.08
17;0.08
17.5;0.08
18;0.08
18.5;0.08
19;0.08
19.5;0.16
20;0.08
20.5;0.16
21;0.12
21.5;0.12
22;0.08
22.5;0.12
23;0.12
23.5;0.16
24;0.08
24.5;0.16
25;0.12
25.5;0.16
26;0.12
26.5;0.16
27;0.12
27.5;0.16
28;0.12
28.5;0.16
29;0.16
29.5;0.2
30;0.16
30.5;0.16
31;0.16
31.5;0.2
32;0.16
32.5;0.16
33;0.2
33.5;0.2
34;0.16
34.5;0.2
35;0.2
35.5;0.24
36;0.16
36.5;0.2
37;0.2
37.5;0.24
38;0.2
38.5;0.24
39;0.2
39.5;0.24
40;0.2
40.5;0.24
41;0.24
41.5;0.28
42;0.24
42.5;0.28
43;0.24
43.5;0.28
44;0.24
44.5;0.24
45;0.24
45.5;0.28
46;0.24
46.5;0.28
47;0.28
47.5;0.32
48;0.28
48.5;0.32
49;0.28
49.5;0.32
50;0.28
50.5;0.32
51;0.32
51.5;0.36
52;0.28
52.5;0.36
53;0.36
53.5;0.36
54;0.32
54.5;0.36
55;0.36
55.5;0.36
56;0.32
56.5;0.36
57;0.36
57.5;0.36
58;0.36
58.5;0.36
59;0.36
59.5;0.4
60;0.36
60.5;0.36
61;0.4
61.5;0.4
62;0.4
62.5;0.4
63;0.4
63.5;0.44
64;0.4
64.5;0.4
65;0.44
65.5;0.44
66;0.4
66.5;0.44
67;0.44
67.5;0.44
68;0.4
68.5;0.44
69;0.48
69.5;0.48
70;0.44
70.5;0.44
71;0.48
71.5;0.52
72;0.44
72.5;0.48
73;0.48
73.5;0.52
74;0.48
74.5;0.48
75;0.48
75.5;0.52
76;0.48
76.5;0.52
77;0.48
77.5;0.52
78;0.48
78.5;0.52
79;0.52
79.5;0.52
80;0.52
80.5;0.52
81;0.52
81.5;0.56
82;0.52
82.5;0.56
83;0.56
83.5;0.56
84;0.52
84.5;0.56
85;0.56
85.5;0.6
86;0.56
86.5;0.6
87;0.6
87.5;0.6
88;0.56
88.5;0.6
89;0.56
89.5;0.6
90;0.56
90.5;0.6
91;0.6
91.5;0.64
92;0.6
92.5;0.64
93;0.6
93.5;0.64
94;0.6
94.5;0.64
95;0.64
95.5;0.64
96;0.6
96.5;0.64
97;0.64
97.5;0.68
98;0.64
98.5;0.64
99;0.64
99.5;0.68
100;0.64
100.5;0.68
101;0.68
101.5;0.68
102;0.68
102.5;0.68
103;0.68
103.5;0.72
104;0.68
104.5;0.68
105;0.72
105.5;0.72
106;0.68
106.5;0.72
107;0.72
107.5;0.76
108;0.72
108.5;0.76
109;0.72
109.5;0.76
110;0.72
110.5;0.76
111;0.76
111.5;0.76
112;0.72
112.5;0.76
113;0.76
113.5;0.8
114;0.76
114.5;0.76
115;0.76
115.5;0.8
116;0.76
116.5;0.8
117;0.8
117.5;0.84
118;0.8
118.5;0.8
119;0.84
119.5;0.84
120;0.8
120.5;0.84
121;0.8
121.5;0.84
122;0.8
122.5;0.84
123;0.84
123.5;0.84
124;0.8
124.5;0.84
125;0.84
125.5;0.88
126;0.84
126.5;0.84
127;0.88
127.5;0.88
128;0.84
128.5;0.88
129;0.88
129.5;0.92
130;0.88
130.5;0.88
131;0.88
131.5;0.92
132;0.88
132.5;0.92
133;0.92
133.5;0.92
134;0.92
134.5;0.92
135;0.92
135.5;0.96
136;0.92
136.5;0.92
137;0.92
137.5;0.96
138;0.92
138.5;0.92
139;0.96
139.5;0.96
140;0.96
140.5;0.96
141;0.96
141.5;1
142;0.96
142.5;0.96
143;1
143.5;1
144;0.96
144.5;1
145;1
145.5;1.04
146;0.96
146.5;1
147;1
147.5;1.04
148;1
148.5;1
149;1.04
149.5;1.04
150;1
150.5;1.04
151;1.04
151.5;1.08
152;1.04
152.5;1.08
153;1.08
153.5;1.08
154;1.04
